City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mahebourg,MU,-20.4081,57.7,23.16,88,40,4.12,scattered clouds
1,Ushuaia,AR,-54.8,-68.3,2.81,81,75,0.0,broken clouds
2,Punta Arenas,CL,-53.15,-70.9167,4.06,81,0,4.45,clear sky
3,Provideniya,RU,64.3833,-173.3,3.68,63,16,1.8,few clouds
4,Fortuna,US,40.5982,-124.1573,18.57,66,75,2.24,broken clouds
5,Balingasay,PH,16.3573,119.8564,28.23,79,100,4.6,overcast clouds
6,Ribeira Grande,PT,38.5167,-28.7,21.22,78,40,5.66,scattered clouds
7,Bengkulu,ID,-3.8004,102.2655,23.49,89,14,2.0,few clouds
8,Fershampenuaz,RU,53.5202,59.8117,14.92,45,12,0.48,few clouds
9,Cairns,AU,-16.9167,145.7667,20.97,85,75,3.09,broken clouds
10,Guilin,CN,25.2819,110.2864,21.06,83,0,1.33,clear sky
11,Brae,GB,60.3964,-1.353,11.95,77,32,3.48,scattered clouds
12,Chokurdakh,RU,70.6333,147.9167,1.66,83,100,3.23,overcast clouds
13,Barrow,US,71.2906,-156.7887,-0.99,93,90,5.66,mist
14,Khani,GE,41.9563,42.9566,10.76,99,100,1.22,overcast clouds
15,Butaritari,KI,3.0707,172.7902,27.79,74,16,3.48,few clouds
16,Lethem,GY,3.3803,-59.7968,29.91,68,53,2.96,broken clouds
17,Cape Town,ZA,-33.9258,18.4232,21.23,30,0,4.35,clear sky
18,Ancud,CL,-41.8697,-73.8203,10.24,78,100,5.77,overcast clouds
19,Port Blair,IN,11.6667,92.75,28.86,78,96,5.57,overcast clouds
20,Port Alfred,ZA,-33.5906,26.891,18.44,41,0,4.25,clear sky
21,Bathsheba,BB,13.2167,-59.5167,30.34,54,40,8.32,scattered clouds
22,Kushiro,JP,42.975,144.3747,12.62,86,95,3.25,overcast clouds
23,Hay River,CA,60.8156,-115.7999,5.99,70,75,8.23,broken clouds
24,Saryozek,KZ,44.3583,77.9753,14.2,42,8,1.06,clear sky
25,Hilo,US,19.7297,-155.09,24.89,74,21,0.45,few clouds
26,Kahului,US,20.8947,-156.47,24.91,83,4,2.68,clear sky
27,Atuona,PF,-9.8,-139.0333,26.6,64,66,4.2,broken clouds
28,Bhayavadar,IN,21.85,70.25,29.67,64,6,5.64,clear sky
29,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,5.33,100,90,1.48,light rain
30,Berezovyy,RU,51.6667,135.7,8.27,97,77,0.63,broken clouds
31,Rikitea,PF,-23.1203,-134.9692,24.81,83,98,6.02,light rain
32,Souillac,MU,-20.5167,57.5167,23.21,88,40,3.88,light rain
